,amp,batch_size,bss_reg,cat:auto_augment:None,cat:auto_augment:original,cat:auto_augment:v0,cat:data_augmentation:None,cat:data_augmentation:auto_augment,cat:data_augmentation:random_augment,cat:data_augmentation:trivial_augment,cat:model:beit_base_patch16_384,cat:model:beit_large_patch16_512,cat:model:convnext_small_384_in22ft1k,cat:model:deit3_small_patch16_384_in21ft1k,cat:model:dla46x_c,cat:model:edgenext_small,cat:model:edgenext_x_small,cat:model:edgenext_xx_small,cat:model:mobilevit_xs,cat:model:mobilevit_xxs,cat:model:mobilevitv2_075,cat:model:swinv2_base_window12to24_192to384_22kft1k,cat:model:tf_efficientnet_b4_ns,cat:model:tf_efficientnet_b6_ns,cat:model:tf_efficientnet_b7_ns,cat:model:volo_d1_384,cat:model:volo_d3_448,cat:model:volo_d4_448,cat:model:volo_d5_448,cat:model:volo_d5_512,cat:model:xcit_nano_12_p8_384_dist,cat:model:xcit_small_12_p8_384_dist,cat:model:xcit_tiny_12_p8_384_dist,cat:model:xcit_tiny_24_p8_384_dist,cat:opt:adam,cat:opt:adamp,cat:opt:adamw,cat:opt:momentum,cat:opt:sgd,cat:opt_betas:None,"cat:opt_betas:[0.0, 0.999]","cat:opt_betas:[0.0, 0.99]","cat:opt_betas:[0.9, 0.999]","cat:opt_betas:[0.9, 0.99]",cat:sched:cosine,cat:sched:multistep,cat:sched:plateau,cat:sched:step,clip_grad,cotuning_reg,cutmix,decay_epochs,decay_rate,delta_reg,drop,layer_decay,linear_probing,lr,mixup,mixup_prob,momentum,patience_epochs,pct_to_freeze,ra_magnitude,ra_num_ops,smoothing,sp_reg,stoch_norm,warmup_epochs,warmup_lr,weight_decay
31089374905428338,0,256,0.01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,10.0,1.0,0.25,20.0,0.5,0.01,0.3,0.75,1,0.005,0.4,0.5,0.9,10,0.6,8,2,0.0,0.001,0,0,0.0,0.0
65770475282502030,0,2,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,10.0,0.0,0.0,10.0,0.1,0.01,0.1,0.75,0,0.0005,8.0,0.0,0.9,10,0.0,8,2,0.1,0.01,0,0,1e-05,0.1
39627437468135590,0,64,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,10.0,0.0,2.0,90.0,0.1,0.1,0.2,0.65,1,0.0005,0.0,0.0,0.9,5,1.0,8,2,0.0,0.0001,0,0,1e-06,0.0
362066015493133198,0,512,0.1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,10.0,4.0,0.25,10.0,0.5,0.0001,0.2,0.65,0,1e-05,1.0,0.0,0.9,10,1.0,8,2,0.0,0.01,0,5,0.0,1e-05
9391625470074939,1,256,0.01,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1.0,4.0,0.0,90.0,0.1,0.0001,0.3,-1.0,0,0.0005,2.0,0.25,0.9,5,1.0,9,2,0.1,0.0,1,10,1e-05,0.1
20290420651047610,0,8,0.001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,-1.0,0.5,0.25,90.0,0.1,0.001,0.1,-1.0,0,0.0001,0.4,1.0,0.9,10,0.6,8,2,0.05,0.001,0,0,0.0,0.0001
13722874528916286,0,2,0.001,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1.0,2.0,4.0,90.0,0.1,0.0001,0.0,-1.0,0,1e-05,0.4,0.5,0.9,10,0.2,8,2,0.1,0.1,0,5,0.0,1e-05
4794119612852028,0,16,0.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1.0,2.0,0.1,10.0,0.1,0.0001,0.2,0.65,0,1e-05,1.0,0.25,0.0,10,0.2,9,2,0.05,0.1,1,5,1e-06,0.0001
179881443890252883,1,32,0.01,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.0,4.0,4.0,20.0,0.5,0.1,0.1,0.65,0,1e-05,0.0,0.5,0.9,10,0.6,8,2,0.1,0.1,1,5,0.0,0.01
6001494267033190,0,64,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1.0,1.0,0.1,90.0,0.1,0.1,0.0,0.75,0,0.005,0.4,0.75,0.9,10,0.4,8,2,0.0,0.0,0,5,1e-06,1e-05
146030151877132968,0,2,0.0001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10.0,0.5,0.25,10.0,0.5,0.0001,0.3,0.65,0,1e-05,0.0,0.5,0.99,10,0.8,8,2,0.05,0.01,0,5,0.0,0.1
82156932995205374,0,32,0.001,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-1.0,4.0,4.0,90.0,0.1,0.0001,0.0,0.65,1,1e-05,0.4,0.0,0.9,10,0.4,8,2,0.0,0.0001,1,5,1e-05,0.1
237362276411537412,0,128,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0,2.0,0.0,20.0,0.1,0.001,0.3,0.75,1,0.001,1.0,0.75,0.9,10,0.6,17,2,0.0,0.0001,0,5,1e-05,0.01
27654062335632821,1,64,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1.0,0.5,0.5,20.0,0.5,0.01,0.0,0.65,0,0.0001,2.0,0.25,0.9,10,1.0,8,2,0.0,0.01,0,5,1e-06,0.001
132774777755898930,0,2,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-1.0,4.0,0.1,90.0,0.1,0.001,0.3,0.65,0,1e-05,4.0,1.0,0.9,2,0.8,9,3,0.1,0.1,1,10,0.0,0.001
22555136763483899,1,8,0.01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10.0,2.0,2.0,90.0,0.1,0.1,0.4,-1.0,0,0.001,8.0,1.0,0.9,10,1.0,9,2,0.05,0.01,0,0,1e-05,1e-05
6421469694058491,1,256,0.001,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,4.0,90.0,0.1,0.0001,0.2,-1.0,1,0.0001,2.0,0.0,0.9,10,0.2,8,2,0.0,0.01,1,0,1e-05,1e-05
113811947998624588,0,8,0.01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,-1.0,4.0,2.0,90.0,0.1,0.0001,0.0,-1.0,0,0.0005,0.4,1.0,0.99,10,0.6,9,3,0.0,0.0001,1,10,0.0,0.1
238997504279164976,0,32,0.0001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.0,0.0,0.5,20.0,0.1,0.0,0.3,-1.0,1,0.01,0.4,0.5,0.9,10,0.6,17,2,0.0,0.0,0,0,0.0,0.0001
31402684853620507,1,2,0.001,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1.0,4.0,0.5,90.0,0.1,0.0001,0.2,0.75,0,1e-05,0.0,0.25,0.9,10,0.8,8,2,0.0,0.01,0,10,0.0,0.0
438345620387815117,1,128,0.01,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1.0,2.0,0.5,10.0,0.5,0.1,0.0,0.75,0,1e-05,4.0,0.25,0.95,10,0.2,9,3,0.05,0.001,1,10,1e-06,0.1
487929845962077308,0,32,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1.0,2.0,4.0,10.0,0.1,0.01,0.4,-1.0,0,0.001,2.0,0.25,0.9,10,0.0,17,3,0.05,0.001,0,0,1e-06,0.01
2637034712327252,0,4,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10.0,0.5,2.0,90.0,0.1,0.001,0.0,0.65,0,1e-05,1.0,0.0,0.0,10,0.6,8,2,0.1,0.0,1,10,1e-05,0.01
31170285456273867,1,4,0.01,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.0,2.0,2.0,90.0,0.1,0.0001,0.1,0.75,0,1e-05,1.0,0.0,0.9,2,0.4,8,2,0.05,0.001,1,0,0.0,0.0
23429359728544459,1,128,0.001,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1.0,0.5,4.0,90.0,0.1,0.001,0.3,-1.0,1,0.01,0.0,0.25,0.9,2,1.0,8,2,0.05,0.0001,0,0,1e-06,0.0
365431048244228,0,4,0.001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1.0,0.0,0.1,90.0,0.1,0.01,0.4,0.65,0,0.0005,1.0,1.0,0.9,10,0.4,8,2,0.05,0.1,0,10,0.0,0.1
1760508760076587,1,2,0.001,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1.0,2.0,0.5,90.0,0.1,0.001,0.4,-1.0,0,5e-05,0.2,0.0,0.9,10,0.2,8,2,0.05,0.001,1,10,0.0,0.01
40350380768702549,1,512,0.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-1.0,2.0,1.0,10.0,0.1,0.0001,0.1,0.75,0,0.001,4.0,0.25,0.9,10,0.8,8,2,0.05,0.1,1,5,1e-05,0.0
62209492742946396,0,128,0.01,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-1.0,4.0,1.0,20.0,0.5,0.01,0.3,0.65,1,5e-05,0.4,0.75,0.9,10,0.8,8,2,0.05,0.0001,1,0,0.0,1e-05
43617742992264083,1,8,0.0001,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,10.0,4.0,0.5,90.0,0.1,0.01,0.3,0.65,1,5e-05,4.0,1.0,0.8,2,0.6,8,2,0.0,0.001,1,10,0.0,0.001
93209843956533499,1,2,0.0001,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1.0,1.0,4.0,20.0,0.5,0.01,0.2,0.65,0,5e-05,2.0,0.0,0.9,10,0.2,8,2,0.1,0.001,0,0,0.0,0.0001
456014470538412290,0,4,0.0001,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,-1.0,0.5,0.25,10.0,0.1,0.01,0.3,0.75,0,0.0005,0.4,0.25,0.9,10,0.8,17,3,0.0,0.0,1,0,1e-05,0.01
69062934443240179,1,2,0.0001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,10.0,4.0,1.0,90.0,0.1,0.001,0.1,0.75,0,1e-05,8.0,0.0,0.9,2,1.0,17,2,0.0,0.01,0,5,0.0,0.0001
77931604254360417,1,256,0.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,10.0,0.0,0.0,90.0,0.1,0.0001,0.1,0.75,1,5e-05,0.0,0.25,0.9,10,1.0,8,2,0.05,0.1,0,0,1e-05,0.0001
5281551388204080,0,16,0.01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,10.0,1.0,0.0,90.0,0.1,0.01,0.4,-1.0,1,5e-05,0.0,0.25,0.0,10,0.6,9,2,0.0,0.001,0,10,1e-05,0.0001
9404612796214773,1,32,0.01,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10.0,4.0,0.5,20.0,0.1,0.01,0.4,0.65,1,0.0005,0.2,0.5,0.9,10,1.0,8,2,0.1,0.0001,1,10,1e-05,0.1
23085688683393488,0,4,0.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,-1.0,0.0,2.0,90.0,0.1,0.0001,0.0,0.75,0,0.0001,4.0,0.5,0.9,10,0.4,9,3,0.1,0.01,1,0,0.0,0.0
24402950379490290,0,16,0.01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,10.0,0.0,0.5,20.0,0.5,0.0,0.4,-1.0,0,1e-05,1.0,0.75,0.9,10,0.4,8,2,0.05,0.0001,1,0,0.0,0.1
430884454159928200,0,8,0.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,10.0,4.0,0.0,20.0,0.1,0.0,0.2,0.75,0,0.001,0.2,0.5,0.9,10,0.4,17,3,0.0,0.0,0,5,0.0,0.01
20728492055843957,1,512,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-1.0,1.0,1.0,90.0,0.1,0.0,0.2,0.65,1,1e-05,8.0,1.0,0.9,2,0.6,8,2,0.05,0.0001,0,0,1e-06,0.0001
18690242054747533,1,16,0.001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,-1.0,1.0,2.0,90.0,0.1,0.1,0.1,0.65,1,0.0005,0.2,1.0,0.9,10,0.8,8,2,0.1,0.0,1,5,1e-05,0.01
14076560528499350,0,4,0.0001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,1.0,4.0,20.0,0.1,0.001,0.0,0.65,0,5e-05,2.0,0.5,0.9,10,1.0,8,2,0.0,0.01,1,0,1e-06,1e-05
112994152672424652,0,2,0.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,10.0,0.0,0.1,20.0,0.1,0.001,0.2,-1.0,0,1e-05,1.0,1.0,0.9,10,1.0,8,2,0.05,0.0001,0,0,1e-05,0.0
77403848890676082,0,16,0.001,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,10.0,2.0,2.0,90.0,0.1,0.01,0.4,0.75,0,0.0005,8.0,0.75,0.9,2,0.2,17,2,0.0,0.1,1,10,0.0,0.0001
145796811026961349,1,2,0.0001,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,10.0,0.0,0.0,90.0,0.1,0.0001,0.0,0.65,0,5e-05,8.0,0.5,0.9,5,0.4,8,2,0.1,0.001,1,10,1e-05,0.0
39264268986276616,0,64,0.001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,-1.0,0.5,4.0,90.0,0.1,0.1,0.3,-1.0,0,0.01,0.4,1.0,0.99,10,1.0,8,2,0.0,0.001,1,0,0.0,0.0
61199270426593262,0,4,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,-1.0,2.0,0.25,10.0,0.5,0.01,0.2,-1.0,0,0.0001,2.0,0.25,0.9,10,0.8,8,2,0.0,0.1,1,10,0.0,0.0001
19165201147953929,1,64,0.0001,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.0,2.0,0.0,90.0,0.1,0.0,0.2,-1.0,1,1e-05,1.0,0.0,0.9,10,0.6,8,2,0.05,0.001,1,5,0.0,0.001
41396759597661163,1,16,0.001,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1.0,4.0,4.0,20.0,0.1,0.01,0.1,-1.0,0,0.0005,1.0,0.5,0.9,10,1.0,8,2,0.0,0.1,1,10,1e-06,0.1
483458603148955430,0,32,0.1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-1.0,0.0,0.0,20.0,0.5,0.0,0.3,0.65,1,0.001,0.0,0.75,0.99,10,0.8,8,2,0.05,0.1,0,0,0.0,1e-05
3820479209045707,1,128,0.01,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0,0.0,2.0,90.0,0.1,0.0001,0.4,0.75,1,0.0005,8.0,1.0,0.9,2,0.8,8,2,0.05,0.1,0,5,1e-05,0.001
4940941619395658,0,4,0.001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1.0,4.0,0.25,90.0,0.1,0.01,0.0,-1.0,0,0.01,1.0,0.25,0.9,10,0.0,8,2,0.05,0.1,1,10,1e-06,0.0001
44607322513008189,1,32,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-1.0,4.0,0.0,20.0,0.1,0.1,0.3,0.65,1,0.001,1.0,0.25,0.9,10,1.0,9,2,0.0,0.01,0,0,0.0,0.0001
10288561780911140,0,32,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,10.0,4.0,1.0,90.0,0.1,0.01,0.4,-1.0,1,1e-05,0.4,0.0,0.9,10,0.6,8,2,0.1,0.0,1,10,1e-06,0.01
80412933494619871,1,16,0.01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,-1.0,2.0,2.0,20.0,0.1,0.0001,0.0,-1.0,1,0.001,0.4,0.5,0.9,10,0.8,8,2,0.1,0.1,1,5,1e-06,0.0
