,amp,batch_size,bss_reg,cat__auto_augment__None,cat__auto_augment__original,cat__auto_augment__v0,cat__model__beit_base_patch16_384,cat__model__beit_large_patch16_512,cat__model__convnext_small_384_in22ft1k,cat__model__deit3_small_patch16_384_in21ft1k,cat__model__dla46x_c,cat__model__edgenext_small,cat__model__edgenext_x_small,cat__model__edgenext_xx_small,cat__model__mobilevit_xs,cat__model__mobilevit_xxs,cat__model__mobilevitv2_075,cat__model__swinv2_base_window12to24_192to384_22kft1k,cat__model__tf_efficientnet_b4_ns,cat__model__tf_efficientnet_b6_ns,cat__model__tf_efficientnet_b7_ns,cat__model__volo_d1_384,cat__model__volo_d3_448,cat__model__volo_d4_448,cat__model__volo_d5_448,cat__model__volo_d5_512,cat__model__xcit_nano_12_p8_384_dist,cat__model__xcit_small_12_p8_384_dist,cat__model__xcit_tiny_12_p8_384_dist,cat__model__xcit_tiny_24_p8_384_dist,cat__opt__adam,cat__opt__adamp,cat__opt__adamw,cat__opt__momentum,cat__opt__sgd,cat__opt_betas__None,"cat__opt_betas__[0.0, 0.999]","cat__opt_betas__[0.0, 0.99]","cat__opt_betas__[0.9, 0.999]","cat__opt_betas__[0.9, 0.99]",cat__sched__cosine,cat__sched__multistep,cat__sched__plateau,cat__sched__step,clip_grad,cotuning_reg,cutmix,decay_epochs,decay_rate,delta_reg,drop,layer_decay,linear_probing,lr,mixup,mixup_prob,momentum,patience_epochs,pct_to_freeze,ra_magnitude,ra_num_ops,random_augment,smoothing,sp_reg,stoch_norm,trivial_augment,warmup_epochs,warmup_lr,weight_decay
18128572812746170,False,128,0.01,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,,0.0,0.25,90,0.1,0.01,0.0,0.65,False,0.01,0.0,0.0,0.9,10,0.0,8,2,False,0.05,0.01,True,False,0,1e-06,0.01
37206451381390414,False,32,0.0001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1.0,1.0,0.25,90,0.1,0.001,0.3,,False,0.0001,0.4,0.75,0.9,5,0.4,8,2,False,0.1,0.1,True,True,5,1e-06,0.0001
27915224708756384,False,32,0.001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,,1.0,1.0,90,0.1,0.01,0.3,0.75,False,0.001,1.0,1.0,0.9,2,1.0,8,2,False,0.05,0.0,False,False,0,1e-05,0.001
3998595355222938,False,16,0.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,1.0,0.5,0.5,10,0.1,0.0,0.1,0.75,False,5e-05,1.0,0.5,0.9,10,1.0,8,2,False,0.05,0.0001,True,True,10,1e-05,0.001
10985994580617832,False,8,0.0001,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,,2.0,0.0,20,0.1,0.0,0.3,0.65,True,1e-05,1.0,0.25,0.9,10,1.0,8,2,False,0.0,0.001,False,False,5,0.0,0.001
60827396679211467,True,4,0.01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,10.0,4.0,1.0,90,0.1,0.01,0.2,0.65,False,0.0001,4.0,0.5,0.9,10,1.0,8,2,False,0.05,0.1,False,False,0,0.0,0.0001
10451819365195124,False,4,0.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,,0.0,1.0,90,0.1,0.1,0.1,0.75,False,5e-05,0.2,0.5,0.9,5,1.0,8,2,False,0.05,0.0001,True,True,0,1e-05,0.01
59168585309233937,True,8,0.1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,,2.0,0.0,20,0.5,0.001,0.2,0.65,True,0.001,0.4,1.0,0.9,10,0.4,8,2,False,0.1,0.01,False,True,5,1e-05,0.01
100331815210533929,True,64,0.0001,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,,0.0,0.0,10,0.1,0.0,0.0,,True,0.0001,8.0,0.5,0.9,10,1.0,9,2,True,0.05,0.001,True,False,10,0.0,0.001
14914819499142170,False,4,0.0001,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,,0.0,0.0,10,0.1,0.0001,0.4,0.75,False,0.005,4.0,0.5,0.9,10,0.0,8,2,False,0.0,0.1,False,False,0,0.0,0.0
5615076545915997,True,4,0.01,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,10.0,2.0,2.0,90,0.1,0.1,0.3,0.65,True,1e-05,8.0,0.0,0.9,2,0.0,8,2,False,0.0,0.1,False,False,5,0.0,1e-05
56780812839078763,True,2,0.001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,10.0,1.0,4.0,90,0.1,0.0,0.4,0.65,False,0.001,0.2,1.0,0.9,10,0.0,17,2,True,0.1,0.1,False,False,0,0.0,0.1
12890785184390445,True,128,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,10.0,0.0,0.5,20,0.1,0.1,0.0,0.65,False,5e-05,4.0,0.75,0.9,10,0.4,8,2,False,0.0,0.1,True,False,5,1e-06,0.0001
24161395732694480,False,4,0.0001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,1.0,0.5,0.1,90,0.1,0.01,0.4,,True,1e-05,0.2,0.0,0.9,10,1.0,8,2,False,0.05,0.0,False,False,10,1e-05,0.0
54490037252265202,False,8,0.0001,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1.0,1.0,0.1,90,0.1,0.1,0.3,0.75,True,0.005,0.2,0.5,0.9,5,0.8,8,2,False,0.1,0.0001,False,False,0,1e-06,1e-05
185408107141734766,False,16,0.001,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,,0.5,4.0,20,0.5,0.0,0.2,0.75,False,0.0001,0.0,0.0,0.9,10,0.2,8,2,False,0.0,0.01,True,False,10,0.0,0.0
11066533549996644,False,2,0.01,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,10.0,2.0,0.25,90,0.1,0.0,0.1,,True,0.0005,0.4,0.5,0.9,2,0.4,9,2,True,0.05,0.001,True,False,5,0.0,0.001
32566008509637430,False,8,0.001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,1.0,0.0,0.25,90,0.1,0.001,0.1,,False,5e-05,0.0,1.0,0.99,2,1.0,8,2,False,0.05,0.0,False,False,5,0.0,0.1
35442884782826888,False,128,0.01,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,1.0,4.0,0.5,90,0.1,0.001,0.4,,False,1e-05,8.0,0.25,0.99,10,0.2,8,2,False,0.05,0.001,False,False,10,0.0,0.001
124245371217388237,True,16,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,1.0,1.0,0.25,20,0.5,0.0,0.4,,False,0.0005,8.0,0.5,0.9,10,0.0,17,3,True,0.05,0.0001,False,False,0,0.0,0.001
12488818352665946,False,2,0.1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,1.0,0.5,0.1,90,0.1,0.0001,0.2,,False,0.0001,0.2,0.0,0.9,10,0.4,8,2,False,0.05,0.001,False,False,10,0.0,0.0001
5740204790827782,False,2,0.1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,1.0,0.5,0.5,90,0.1,0.01,0.4,0.65,False,0.01,0.0,0.75,0.9,2,0.0,9,2,True,0.05,0.001,False,False,10,0.0,1e-05
28575500196238575,True,64,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,10.0,4.0,0.25,90,0.1,0.001,0.1,0.65,False,0.01,1.0,1.0,0.9,10,0.0,8,2,False,0.1,0.1,False,False,5,0.0,0.0001
164300694164752914,False,2,0.01,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,10.0,4.0,4.0,90,0.1,0.001,0.1,,False,0.001,0.2,0.25,0.9,5,0.8,9,3,True,0.0,0.0001,False,False,0,1e-05,0.01
10687808780603921,True,64,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,10.0,4.0,0.5,90,0.1,0.001,0.2,,True,0.005,1.0,1.0,0.9,10,0.8,8,2,False,0.05,0.001,False,False,10,1e-05,0.01
31601559459385009,True,2,0.0001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,,1.0,0.5,90,0.1,0.01,0.3,0.65,True,1e-05,0.0,0.0,0.9,10,0.6,8,2,False,0.05,0.0001,True,False,0,1e-06,0.0
158484491973204378,False,4,0.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,10.0,0.5,0.1,90,0.1,0.001,0.2,,False,5e-05,8.0,0.75,0.99,5,0.8,17,2,True,0.05,0.01,False,False,0,1e-06,0.0001
17908146740906904,False,64,0.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,,0.5,2.0,90,0.1,0.0001,0.3,0.65,False,0.005,0.4,0.0,0.9,2,0.8,8,2,False,0.05,0.01,False,False,10,0.0,0.01
2496832257572248,False,8,0.01,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,,1.0,0.25,90,0.1,0.001,0.0,0.75,True,0.01,2.0,0.25,0.9,10,0.4,8,2,False,0.05,0.0001,True,False,5,1e-05,0.01
17882968666831371,True,32,0.1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1.0,0.0,2.0,90,0.1,0.0,0.0,0.75,True,1e-05,0.2,0.25,0.9,2,0.6,8,2,False,0.1,0.0001,False,True,10,0.0,0.01
4231307696917272,False,16,0.001,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,1.0,1.0,0.1,90,0.1,0.0001,0.2,0.75,False,0.0005,1.0,1.0,0.9,10,0.6,8,2,False,0.0,0.001,False,True,5,0.0,0.0001
18976363741594941,True,256,0.001,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,10.0,2.0,0.25,10,0.5,0.1,0.0,0.75,False,5e-05,2.0,0.75,0.9,10,0.8,8,2,False,0.1,0.1,False,False,0,0.0,0.001
22794870876753158,False,16,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,1.0,2.0,1.0,90,0.1,0.01,0.1,0.75,False,0.001,1.0,0.0,0.9,10,0.6,8,2,False,0.05,0.1,True,True,5,1e-05,1e-05
19723807199798384,False,128,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,,0.5,0.0,90,0.1,0.1,0.2,0.75,False,0.0005,0.4,1.0,0.9,10,0.0,9,2,True,0.1,0.1,False,False,10,1e-06,0.001
69379870661401616,False,32,0.0001,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,,1.0,2.0,90,0.1,0.01,0.3,,True,0.001,8.0,0.25,0.9,10,0.8,9,3,True,0.05,0.1,False,False,0,1e-06,0.0001
110160985450112161,True,16,0.01,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,,0.0,0.0,90,0.1,0.1,0.3,0.65,False,5e-05,2.0,1.0,0.9,10,0.2,17,3,True,0.1,0.001,False,False,10,1e-06,0.0001
35074049819854905,True,32,0.001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,10.0,4.0,1.0,10,0.1,0.1,0.3,,False,1e-05,2.0,0.0,0.9,10,0.4,8,2,False,0.1,0.001,True,False,10,1e-05,0.01
393282801106172301,True,4,0.0001,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,1.0,1.0,2.0,10,0.1,0.0,0.4,0.75,False,0.0005,0.2,0.0,0.9,10,1.0,9,3,True,0.1,0.01,False,False,10,0.0,0.0001
14220405614979374,False,256,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,,2.0,4.0,20,0.1,0.0,0.4,0.75,True,0.0005,2.0,0.5,0.0,10,0.8,8,2,False,0.1,0.001,True,True,5,1e-06,1e-05
61566388466679561,True,4,0.0001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,,1.0,2.0,90,0.1,0.0001,0.0,0.75,True,0.005,0.2,0.75,0.9,5,0.8,8,2,False,0.05,0.01,False,True,10,1e-06,0.0001
61636710253376402,False,16,0.01,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,,1.0,0.5,90,0.1,0.01,0.0,0.75,False,0.005,0.0,1.0,0.9,10,0.0,8,2,False,0.05,0.01,True,False,10,1e-06,0.0001
17938310511920627,True,32,0.001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1.0,1.0,0.25,90,0.1,0.0001,0.0,0.75,False,0.001,1.0,1.0,0.9,2,1.0,8,2,False,0.05,0.0,True,True,10,0.0,0.01
23569656767324282,False,4,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,,4.0,2.0,90,0.1,0.0,0.3,0.75,False,1e-05,0.4,0.0,0.9,10,0.2,8,2,False,0.0,0.0001,False,True,5,1e-06,0.0
109219417352696692,False,64,0.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,,2.0,1.0,20,0.1,0.01,0.3,0.75,False,0.0001,2.0,0.25,0.95,10,1.0,8,2,False,0.1,0.1,True,False,5,1e-05,0.001
17498250578583777,True,4,0.01,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,,0.5,0.5,90,0.1,0.01,0.4,,False,0.0005,1.0,0.25,0.9,2,1.0,8,2,False,0.0,0.0001,True,False,10,1e-05,0.1
69861780323044820,False,8,0.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,1.0,0.0,1.0,10,0.1,0.0001,0.3,0.65,False,0.005,2.0,0.0,0.9,10,0.6,8,2,False,0.05,0.0001,True,True,0,1e-05,0.0001
13893224439944517,True,16,0.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,,4.0,0.25,90,0.1,0.1,0.0,,False,5e-05,4.0,0.25,0.9,10,0.6,8,2,False,0.0,0.0001,True,True,10,0.0,1e-05
16865868251432975,True,8,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,,0.5,1.0,10,0.5,0.01,0.0,,True,0.005,0.0,0.75,0.9,10,0.8,9,2,True,0.0,0.1,False,False,5,1e-06,0.1
